Essence_billon;Equation;VAL_INIT;VAL_FIN
BOP;ABCD;A;B
BOP;ABCD;B;B
BOP;ABCD;C;C
BOP;ABCD;D;D
BOP;MSCR;M;M
BOP;MSCR;S;S
BOP;MSCR;C;C
BOP;MSCR;R;C
CHR;ABCD;A;B
CHR;ABCD;B;B
CHR;ABCD;C;C
CHR;ABCD;D;D
CHR;MSCR;M;M
CHR;MSCR;S;S
CHR;MSCR;C;C
CHR;MSCR;R;C
ERR;ABCD;A;B
ERR;ABCD;B;B
ERR;ABCD;C;C
ERR;ABCD;D;D
ERR;MSCR;M;M
ERR;MSCR;S;S
ERR;MSCR;C;C
ERR;MSCR;R;C
HEG;ABCD;A;C
HEG;ABCD;B;C
HEG;ABCD;C;C
HEG;ABCD;D;D
HEG;MSCR;M;M
HEG;MSCR;S;S
HEG;MSCR;C;C
HEG;MSCR;R;C
ERS;ABCD;A;A
ERS;ABCD;B;B
ERS;ABCD;C;C
ERS;ABCD;D;D
ERS;MSCR;M;M
ERS;MSCR;S;S
ERS;MSCR;C;C
ERS;MSCR;R;R
BOJ;ABCD;A;A
BOJ;ABCD;B;B
BOJ;ABCD;C;C
BOJ;ABCD;D;D
BOJ;MSCR;M;M
BOJ;MSCR;S;S
BOJ;MSCR;C;C
BOJ;MSCR;R;R
