Essence_billon;Produit;Cov
BOJ;DER;0.0781959936882003
BOJ;F1;0.0499830897596944
BOJ;F2;0.139023982969219
BOJ;F3;0.210475748411687
BOJ;F4;0.290011691354199
BOJ;P;0.313086890768034
BOP;F1;0.0717742020685505
BOP;F2;0.0800495918185394
BOP;F3;0.204377013707555
BOP;F4;0.206704499976824
BOP;P;0.289019879170156
CHR;F1;0.143466685195373
CHR;F2;0.108212461470146
CHR;F3;0.189786289316579
CHR;F4;0.212827285255205
CHR;P;0.416495777395679
ERR;F3;0.280337182379181
ERR;P;0.214924862577568
ERS;F1;0.0380636251718527
ERS;F2;0.147538357635515
ERS;F3;0.256975062765698
ERS;F4;0.24381695980746
ERS;P;0.290646360062211
HEG;F2;0.234919884611682
HEG;F3;0.239271829627569
HEG;F4;0.136864957927795
HEG;P;0.264012749598779
