Essence_billon;Module;ParameterEstimate;Produit;Vigueur1234;Effet
BOJ;Pres;-14.50939225;DER;nonvig;classepetro_vig
BOJ;Pres;-13.06856727;DER;vigour;classepetro_vig
BOJ;Pres;-19.46921427;F1;nonvig;classepetro_vig
BOJ;Pres;-18.62016244;F1;vigour;classepetro_vig
BOJ;Pres;-10.18895025;F2;nonvig;classepetro_vig
BOJ;Pres;-9.089123528;F2;vigour;classepetro_vig
BOJ;Pres;3.143209613;F3;nonvig;classepetro_vig
BOJ;Pres;4.012804315;F3;vigour;classepetro_vig
BOJ;Pres;-1.755142729;F4;nonvig;classepetro_vig
BOJ;Pres;-1.152588785;F4;vigour;classepetro_vig
BOJ;Pres;0.73433131;P;nonvig;classepetro_vig
BOJ;Pres;-0.487668507;P;vigour;classepetro_vig
BOJ;Pres;0;DER;pate;classepetro_prod
BOJ;Pres;0;DER;sciage;classepetro_prod
BOJ;Pres;0;F1;pate;classepetro_prod
BOJ;Pres;0;F1;sciage;classepetro_prod
BOJ;Pres;-3.815788957;F2;pate;classepetro_prod
BOJ;Pres;0;F2;sciage;classepetro_prod
BOJ;Pres;-1.46896245;F3;pate;classepetro_prod
BOJ;Pres;0;F3;sciage;classepetro_prod
BOJ;Pres;-0.85200837;F4;pate;classepetro_prod
BOJ;Pres;0;F4;sciage;classepetro_prod
BOJ;Pres;1.216154131;P;pate;classepetro_prod
BOJ;Pres;0;P;sciage;classepetro_prod
BOJ;Pres;0.453902388;DER;NA;dhpcm_classepetro
BOJ;Pres;0.58642904;F1;NA;dhpcm_classepetro
BOJ;Pres;0.336154587;F2;NA;dhpcm_classepetro
BOJ;Pres;-0.10747973;F3;NA;dhpcm_classepetro
BOJ;Pres;-0.003893707;F4;NA;dhpcm_classepetro
BOJ;Pres;0.005991625;P;NA;dhpcm_classepetro
BOJ;Pres;-0.004245713;DER;NA;dhpcm2_classepetro
BOJ;Pres;-0.004846586;F1;NA;dhpcm2_classepetro
BOJ;Pres;-0.002706479;F2;NA;dhpcm2_classepetro
BOJ;Pres;7.42543e-4;F3;NA;dhpcm2_classepetro
BOJ;Pres;5.33e-5;F4;NA;dhpcm2_classepetro
BOJ;Pres;6.13e-5;P;NA;dhpcm2_classepetro
BOJ;Vol;-2.720055424;DER;nonvig;classepetro_vig
BOJ;Vol;-2.59423702;DER;vigour;classepetro_vig
