Essence_billon;Module;ParameterEstimate;Produit;QualiteABCD;Effet
BOJ;Pres;-3.49602125994975;DER;A;classepetro_abcd
BOJ;Pres;-4.23733696919251;DER;B;classepetro_abcd
BOJ;Pres;-6.56307456773067;DER;C;classepetro_abcd
BOJ;Pres;-8.2267393261805;DER;D;classepetro_abcd
BOJ;Pres;-15.6815125130233;F1;A;classepetro_abcd
BOJ;Pres;-17.0088254080189;F1;B;classepetro_abcd
BOJ;Pres;-17.188615867948698;F1;C;classepetro_abcd
BOJ;Pres;-19.0824560847882;F1;D;classepetro_abcd
BOJ;Pres;-5.4167808644745;F2;A;classepetro_abcd
BOJ;Pres;-5.44893978932821;F2;B;classepetro_abcd
BOJ;Pres;-6.6406334169108;F2;C;classepetro_abcd
BOJ;Pres;-8.07790272778535;F2;D;classepetro_abcd
BOJ;Pres;3.17653762158456;F3;A;classepetro_abcd
BOJ;Pres;3.76607696726381;F3;B;classepetro_abcd
BOJ;Pres;3.4581480992779;F3;C;classepetro_abcd
BOJ;Pres;2.27656682510365;F3;D;classepetro_abcd
BOJ;Pres;-0.917997521614884;F4;A;classepetro_abcd
BOJ;Pres;-0.857509501090959;F4;B;classepetro_abcd
BOJ;Pres;-0.883173783051927;F4;C;classepetro_abcd
BOJ;Pres;-1.53839801480785;F4;D;classepetro_abcd
BOJ;Pres;-1.88083236682423;P;A;classepetro_abcd
BOJ;Pres;-1.70205982044479;P;B;classepetro_abcd
BOJ;Pres;-1.5548818641650901;P;C;classepetro_abcd
BOJ;Pres;-0.369034235535787;P;D;classepetro_abcd
BOJ;Pres;0.0935008659046818;DER;NA;dhpcm_classepetro
BOJ;Pres;0.518689018046748;F1;NA;dhpcm_classepetro
BOJ;Pres;0.217433762270061;F2;NA;dhpcm_classepetro
BOJ;Pres;-0.0946804152860805;F3;NA;dhpcm_classepetro
BOJ;Pres;-0.0235533719512687;F4;NA;dhpcm_classepetro
BOJ;Pres;0.0749482612535661;P;NA;dhpcm_classepetro
BOJ;Pres;-9.4760061707039e-4;DER;NA;dhpcm2_classepetro
BOJ;Pres;-0.00446214061892512;F1;NA;dhpcm2_classepetro
BOJ;Pres;-0.00190653537869992;F2;NA;dhpcm2_classepetro
BOJ;Pres;5.0434821777008e-4;F3;NA;dhpcm2_classepetro
BOJ;Pres;7.75121147964099e-5;F4;NA;dhpcm2_classepetro
BOJ;Pres;-4.0363176254193e-4;P;NA;dhpcm2_classepetro
BOJ;Vol;-2.44317355673978;DER;A;classepetro_abcd
BOJ;Vol;-2.57872786038433;DER;B;classepetro_abcd
BOJ;Vol;-2.69623400299671;DER;C;classepetro_abcd
BOJ;Vol;-2.64932931801826;DER;D;classepetro_abcd
BOJ;Vol;-1.84287843054457;F1;A;classepetro_abcd
BOJ;Vol;-1.79992053511593;F1;B;classepetro_abcd
BOJ;Vol;-1.82867814015405;F1;C;classepetro_abcd
BOJ;Vol;-1.76468412067517;F1;D;classepetro_abcd
BOJ;Vol;-2.29718008557241;F2;A;classepetro_abcd
BOJ;Vol;-2.22291474590551;F2;B;classepetro_abcd
BOJ;Vol;-2.30648209024996;F2;C;classepetro_abcd
BOJ;Vol;-2.33671378064908;F2;D;classepetro_abcd
