Essence_billon;Produit;Cov
BOJ;DER;0.0643721254239604
BOJ;F1;0.0446139347417902
BOJ;F2;0.134149832454266
BOJ;F3;0.210580004473737
BOJ;F4;0.316453624291961
BOJ;P;0.304127455960922
BOP;F1;0.0784319650761772
BOP;F2;0.0759996417412254
BOP;F3;0.206617086292003
BOP;F4;0.206651624659686
BOP;P;0.272160663316305
CHR;F1;0.148535724914344
CHR;F2;0.111025490917193
CHR;F3;0.182739001701007
CHR;F4;0.193763776679084
CHR;P;0.41107388977888
ERR;F3;0.308968186629076
ERR;P;0.244686572348012
ERS;F1;0.0751446231915701
ERS;F2;0.177950760200704
ERS;F3;0.290609367210182
ERS;F4;0.247715418491214
ERS;P;0.316625187109486
HEG;F2;0.211941522552366
HEG;F3;0.234873358885826
HEG;F4;0.126373540464223
HEG;P;0.268990573360727
