Essence_billon;Module;ParameterEstimate;Produit;PrioriteMSCR;Effet
BOJ;Pres;-14.404619637901;DER;C;classepetro_mscr
BOJ;Pres;-16.4016792369788;DER;M;classepetro_mscr
BOJ;Pres;-12.9887615533398;DER;R;classepetro_mscr
BOJ;Pres;-14.3882670809704;DER;S;classepetro_mscr
BOJ;Pres;-21.4575121494644;F1;C;classepetro_mscr
BOJ;Pres;-23.4571675231532;F1;M;classepetro_mscr
BOJ;Pres;-20.8439180767573;F1;R;classepetro_mscr
BOJ;Pres;-22.3385219335433;F1;S;classepetro_mscr
BOJ;Pres;-9.5360118671438;F2;C;classepetro_mscr
BOJ;Pres;-11.2105879347512;F2;M;classepetro_mscr
BOJ;Pres;-8.89309104525978;F2;R;classepetro_mscr
BOJ;Pres;-9.73366517951965;F2;S;classepetro_mscr
BOJ;Pres;2.81179344354131;F3;C;classepetro_mscr
BOJ;Pres;1.90885306073105;F3;M;classepetro_mscr
BOJ;Pres;3.37456460267475;F3;R;classepetro_mscr
BOJ;Pres;2.2315532073793;F3;S;classepetro_mscr
BOJ;Pres;-1.0915612419119;F4;C;classepetro_mscr
BOJ;Pres;-2.20646065619699;F4;M;classepetro_mscr
BOJ;Pres;-1.11202144479016;F4;R;classepetro_mscr
BOJ;Pres;-1.50805959389532;F4;S;classepetro_mscr
BOJ;Pres;-0.257865448409587;P;C;classepetro_mscr
BOJ;Pres;1.03761615155817;P;M;classepetro_mscr
BOJ;Pres;-0.8326453460324;P;R;classepetro_mscr
BOJ;Pres;0.381701844773859;P;S;classepetro_mscr
BOJ;Pres;0.441508410742958;DER;NA;dhpcm_classepetro
BOJ;Pres;0.69915775732878;F1;NA;dhpcm_classepetro
BOJ;Pres;0.346883356089514;F2;NA;dhpcm_classepetro
BOJ;Pres;-0.0711383170355789;F3;NA;dhpcm_classepetro
BOJ;Pres;-0.00980105411084741;F4;NA;dhpcm_classepetro
BOJ;Pres;0.0256109795451241;P;NA;dhpcm_classepetro
BOJ;Pres;-0.00402143317624159;DER;NA;dhpcm2_classepetro
BOJ;Pres;-0.00601118128292295;F1;NA;dhpcm2_classepetro
BOJ;Pres;-0.00302590884727356;F2;NA;dhpcm2_classepetro
BOJ;Pres;3.3743576792157e-4;F3;NA;dhpcm2_classepetro
BOJ;Pres;3.12030279062252e-5;F4;NA;dhpcm2_classepetro
BOJ;Pres;-5.31078649669348e-5;P;NA;dhpcm2_classepetro
BOJ;Vol;-2.60856498550723;DER;C;classepetro_mscr
BOJ;Vol;-2.96304910263385;DER;M;classepetro_mscr
BOJ;Vol;-2.60358927267452;DER;R;classepetro_mscr
BOJ;Vol;-2.75229707561148;DER;S;classepetro_mscr
BOJ;Vol;-1.84909545964503;F1;C;classepetro_mscr
BOJ;Vol;-1.83294571092281;F1;M;classepetro_mscr
BOJ;Vol;-1.83404590746717;F1;R;classepetro_mscr
BOJ;Vol;-1.79061590973035;F1;S;classepetro_mscr
BOJ;Vol;-2.2430447202524;F2;C;classepetro_mscr
BOJ;Vol;-2.32414873872715;F2;M;classepetro_mscr
BOJ;Vol;-2.25701388932579;F2;R;classepetro_mscr
BOJ;Vol;-2.28327473936408;F2;S;classepetro_mscr
BOJ;Vol;-2.2782946729753;F3;C;classepetro_mscr
BOJ;Vol;-2.30026454314503;F3;M;classepetro_mscr
BOJ;Vol;-2.24525142008723;F3;R;classepetro_mscr
BOJ;Vol;-2.36854702432215;F3;S;classepetro_mscr
BOJ;Vol;-3.12446162490542;F4;C;classepetro_mscr
BOJ;Vol;-3.33221352304995;F4;M;classepetro_mscr
BOJ;Vol;-3.19982733806527;F4;R;classepetro_mscr
BOJ;Vol;-3.17636338511474;F4;S;classepetro_mscr
BOJ;Vol;-2.50794819267779;P;C;classepetro_mscr
BOJ;Vol;-2.2132565684358;P;M;classepetro_mscr
BOJ;Vol;-2.69605655022736;P;R;classepetro_mscr
BOJ;Vol;-2.32605246019847;P;S;classepetro_mscr
BOJ;Vol;0.0366294037134032;DER;NA;dhpcm_classepetro
BOJ;Vol;0.0223394253715247;F1;NA;dhpcm_classepetro
BOJ;Vol;0.0270660402270083;F2;NA;dhpcm_classepetro
BOJ;Vol;0.0220722259742509;F3;NA;dhpcm_classepetro
BOJ;Vol;0.0267773424040382;F4;NA;dhpcm_classepetro
BOJ;Vol;0.0282308560626971;P;NA;dhpcm_classepetro
BOP;Pres;0;DER;C;classepetro_mscr
BOP;Pres;0;DER;M;classepetro_mscr
BOP;Pres;0;DER;R;classepetro_mscr
BOP;Pres;0;DER;S;classepetro_mscr
BOP;Pres;-16.6530700134973;F1;C;classepetro_mscr
BOP;Pres;-18.1379018016967;F1;M;classepetro_mscr
BOP;Pres;-15.9460539693233;F1;R;classepetro_mscr
BOP;Pres;-17.5590637310955;F1;S;classepetro_mscr
BOP;Pres;-32.0290031494831;F2;C;classepetro_mscr
BOP;Pres;-31.9561453493592;F2;M;classepetro_mscr
BOP;Pres;-31.2486570182787;F2;R;classepetro_mscr
BOP;Pres;-31.6081842011372;F2;S;classepetro_mscr
BOP;Pres;2.96445661261476;F3;C;classepetro_mscr
BOP;Pres;1.08381768972255;F3;M;classepetro_mscr
BOP;Pres;3.11412402095177;F3;R;classepetro_mscr
BOP;Pres;2.7057467971049;F3;S;classepetro_mscr
BOP;Pres;2.18137842860895;F4;C;classepetro_mscr
BOP;Pres;1.99832033646817;F4;M;classepetro_mscr
BOP;Pres;2.16241016382107;F4;R;classepetro_mscr
BOP;Pres;2.44218934694758;F4;S;classepetro_mscr
BOP;Pres;-2.1714823893781;P;C;classepetro_mscr
BOP;Pres;-1.52024524150164;P;M;classepetro_mscr
BOP;Pres;-1.85529406422643;P;R;classepetro_mscr
BOP;Pres;-1.26061093107704;P;S;classepetro_mscr
BOP;Pres;0;DER;NA;dhpcm_classepetro
BOP;Pres;0.59946254593744;F1;NA;dhpcm_classepetro
BOP;Pres;1.47261509190725;F2;NA;dhpcm_classepetro
BOP;Pres;-0.0222812590168003;F3;NA;dhpcm_classepetro
